                                        The Restaurant - Description of the internal state
 Chef Waiter  Stu0  Stu1  Stu2  Stu3  Stu4  Stu5  Stu6   NCourse   NPortion                      Table
DSHPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC EJYML CHTWC      2          5         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC EJYML CHTWC      2          5         4     2     3     5     1     0     6    
WAFOR APPST  GGTRT GGTRT GGTRT TKSTT GGTRT OGODR GGTRT      0          0         5     3     -     -     -     -     -    
WAFOR APPST  GGTRT GGTRT GGTRT TKSTT GGTRT OGODR GGTRT      0          0         5     3     -     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT TKSTT GGTRT OGODR GGTRT      0          0         5     3     -     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT TKSTT TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT TKSTT TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT SELCS TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT CHTWC TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR APPST  GGTRT GGTRT GGTRT CHTWC TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR APPST  GGTRT GGTRT GGTRT CHTWC TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT CHTWC TKSTT OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT CHTWC SELCS OGODR GGTRT      0          0         5     3     4     -     -     -     -    
WAFOR PRSMN  GGTRT GGTRT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     -     -     -     -    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          5         4     2     3     5     1     0     6    
WAFOR APPST  GGTRT GGTRT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     -     -     -     -    
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          5         4     2     3     5     1     0     6    
WAFOR APPST  GGTRT GGTRT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     -     -     -     -    
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          5         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC EJYML CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DSHPT WTFPT  CHTWC CHTWC EJYML CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC EJYML CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          6         4     2     3     5     1     0     6    
DLVPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
DSHPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
DLVPT WTFPT  EJYML CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
WAFOR APPST  GGTRT TKSTT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     -     -     -    
WAFOR APPST  GGTRT TKSTT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     -     -     -    
WAFOR PRSMN  GGTRT TKSTT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     -     -     -    
DLVPT WTFPT  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
WAFOR PRSMN  TKSTT TKSTT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
DLVPT APPST  CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC CHTWC      2          7         4     2     3     5     1     0     6    
WAFOR PRSMN  TKSTT TKSTT GGTRT CHTWC CHTWC OGODR GGTRT      0          0         5     3     4     1     0     -     -    
